HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
TX-500,0.403,0.284,0.372,0.234,0.199,0.372,0.257
TX-503,0.281,0.255,0.122,0.086,0.156,0.182,0.168
TX-600,0.374,0.393,0.259,0.183,0.178,0.135,0.221
TX-601,0.128,0.393,0.548,0.335,0.324,0.344,0.392
TX-603,0.304,0.362,0.448,0.28,0.277,0.157,0.109
TX-604,0.333,0.368,0.234,0.048,0,0.037,0
TX-607,0.273,0.307,0.186,0.133,0.285,0.236,0.222
TX-611,0.33,0.257,0,0,0.073,0,0.077
TX-624,,0,0,0,0,0.063,0.059
TX-700,0.299,0.322,0.274,0.227,0.214,0.207,0.146
TX-701,0.615,0.042,,0.35,0.273,0.031,0.16
UT-500,0.211,0.161,0.161,0.073,0.152,0.149,0.126
UT-503,0.25,0.216,0.344,0.338,0.265,0.205,0.208
UT-504,0.431,0.231,0.204,0.18,0.306,0.213,0.119
VA-500,0.159,0.157,0.193,0.22,0.188,0.17,0.16
VA-501,0.385,0.427,0.377,0.399,0.402,0.348,0.263
VA-502,,0,0.043,0,0,0,0
VA-503,0.188,0.263,0.301,0.114,0.25,0.196,0.208
VA-504,,0.059,0.148,0.15,0.059,0.083,0.037
VA-505,0.14,0.176,0,0.063,0.069,0.043,0.091
VA-507,0.375,0.111,0.294,0.241,0.238,0.294,0.167
VA-508,0.29,0.273,0.313,0.182,0.385,0.105,0.2
VA-513,0,0,0,0,0,0,0
VA-514,0.171,0.429,0.273,0,0,0,0
VA-521,0.084,0.036,0.077,0.088,0.051,0.123,0.052
VA-600,0.231,0.182,0.455,0.286,0.237,0.073,0.097
VA-601,0.154,0.175,0.133,0.231,0.278,0.271,0.167
VA-602,0.202,0.203,0.22,0,0,0.5,0.667
VA-603,0.333,0.083,0,0.333,0.077,0.189,0.176
VA-604,0.364,0.22,0.368,0.1,0.208,0.333,0.146
VI-500,,0,0,0,0.027,0,0
VT-500,0.139,0.119,0.079,0.14,0.179,0.111,0.117
VT-501,0,0.128,0.026,0.083,0,0.16,0.133
WA-500,0.189,0.15,0.163,0.151,0.122,0.129,0.145
WA-501,0.173,0.243,0.238,0.211,0.216,0.135,0.16
WA-502,0.127,0.119,0.121,0.09,0.05,0.101,0.109
WA-503,0.232,0.178,0.158,0.093,0.174,0.113,0.057
WA-504,0.139,0.209,0.194,0.184,0.216,0.157,0.13
WA-507,0.057,0.029,,,,,
WA-508,0,0.208,0.04,0.03,0.15,0.1,0.083
WI-500,0.332,0.29,0.289,0.287,0.232,0.169,0.153
WI-501,0.134,0.125,0.124,0.13,0.163,0.134,0.093
WI-502,0.059,0,0.1,0.182,0.154,0.217,0.067
WI-503,0.13,0.136,0.165,0.16,0.261,0.171,0.139
WV-500,0.727,0.222,0.214,0.111,0.241,0.227,0.333
WV-501,0.099,0.098,0.093,0.074,0.12,0.086,0.054
WV-503,0.232,0.135,0.292,0.119,0.147,0.067,0.037
WV-508,0.168,0.186,0.149,0.122,0.084,0.125,0.138
WY-500,0.149,0.074,0.101,0.117,0.046,0.044,0.044
