HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
OK-503,0.14,0.34,0.276,0.268,0.115,0.161,0.411
OK-504,0.81,0.755,0.755,0.84,0.882,0.882,0.911
OK-505,0.402,0.404,0.329,0.603,0.92,0.077,1
OK-506,0.582,0.549,0.549,,0.684,,0.5
OK-507,0.126,0.155,0.207,0.208,0.183,0.183,0.58
OR-500,1,1,1,0.998,1,1,1
OR-501,0.859,0.874,0.902,0.855,0.876,0.902,0.961
OR-502,0.332,0.523,0.549,0.521,0.634,0.452,0.693
OR-503,0.65,0.63,0.722,0.704,0.609,0.697,0.737
OR-504,,,,0.076,0.211,0.303,0.421
OR-505,0.299,0.266,0.266,0.281,0.378,0.37,0.432
OR-506,0.972,0.971,0.954,1,1,1,1
OR-507,1,1,1,1,1,1,1
PA-500,0.826,0.815,0.741,0.824,0.852,0.894,0.876
PA-501,0.777,0.669,0.662,0.673,0.605,0.709,0.746
PA-502,0.86,0.846,0.871,0.913,0.946,0.946,0.972
PA-503,0.994,1,1,1,1,1,1
PA-504,0.965,0.957,1,0.944,0.937,0.923,0.977
PA-505,1,0.981,0.888,0.881,0.9,0.873,0.91
PA-506,0.972,0.982,1,0.977,1,1,1
PA-508,1,1,1,1,1,1,1
PA-509,0.66,0.622,0.63,0.632,0.652,0.69,0.669
PA-510,0.988,0.987,1,0.997,1,1,0.945
PA-511,0.968,0.934,0.984,0.974,0.982,0.953,0.902
PA-512,1,1,1,0.946,1,1,0.976
PA-600,0.96,0.983,0.91,1,1,1,1
PA-601,0.718,0.662,0.707,0.555,0.499,0.516,0.536
PA-603,1,1,1,1,1,1,1
PA-605,1,1,1,0.984,1,0.963,0.958
PR-502,0.962,0.999,1,1,1,1,1
PR-503,0.995,0.99,1,0.984,1,1,1
RI-500,0.865,0.841,0.839,0.879,0.869,0.884,0.931
SC-500,0.738,0.832,0.805,0.881,0.924,0.839,0.899
SC-501,0.467,0.492,0.472,0.428,0.363,0.378,0.447
SC-502,0.77,0.793,0.93,0.852,0.852,0.765,0.812
SC-503,0.799,0.657,0.852,0.889,0.924,0.876,0.892
SD-500,0.61,0.533,0.313,0.243,0.226,0.399,0.56
TN-500,0.971,0.877,0.98,0.974,0.96,0.96,0.963
